"","x"
"1","#BUILTBYGIRLS"
"2",".406 Ventures"
"3","01 Ventures"
"4","100 X Capital Partners"
"5","101 Startups"
"6","10Branch"
"7","10Xelerator"
"8","10Xelerator"
"9","10x Group"
"10","122 West Ventures"
"11","14W"
"12","1517 Fund"
"13","1776"
"14","1776 Ventures"
"15","1800Flowers"
"16","1843 Capital"
"17","2010 NYU Stern Business Plan Competition"
"18","2020 Ventures"
"19","2020 Ventures"
"20","23Seed"
"21","2500 Bachman Ventures"
"22","2B Angels"
"23","2B Angels"
"24","313 Ventures"
"25","313 Ventures"
"26","316 Investments"
"27","3311 Ventures"
"28","33entrepreneurs"
"29","360 Capital Partners"
"30","360 Capital Partners"
"31","37 Ventures"
"32","3TS Capital Partners"
"33","3one4 Capital"
"34","3rd Prime Capital"
"35","3x5 Special Opportunity Fund"
"36","408 Ventures"
"37","43North"
"38","4490 Ventures"
"39","4DX"
"40","4iP"
"41","500 Mobile Collective"
"42","500 Startups"
"43","500 Startups Canada"
"44","500Tech"
"45","62 Mile Ventures"
"46","645 Ventures"
"47","7-Eleven"
"48","7-Ventures, LLC"
"49","77 Ventures"
"50","7percent Ventures"
"51","7wire Ventures"
"52","88mph.ac"
"53","8VC"
"54","8capita Partners"
"55","9Mile Labs"
"56","A Capital Partners, L.P."
"57","A-Grade Investments"
"58","A-Grade Investments"
"59","A.Capital Ventures"
"60","ABC Dream Ventures"
"61","ABRT Venture Fund"
"62","ACCEL"
"63","ACE &amp; Company"
"64","ACE Fund"
"65","ACE Group"
"66","ACE Group"
"67","ACT Venture Capital"
"68","ACT Venture Capital"
"69","ADObjects, Inc"
"70","ADT Security"
"71","AFSquare"
"72","AIA Konica Minolta Digital Health Accelerator"
"73","AIB Seed Capital Fund"
"74","AITV (Accelerate IT Ventures)"
"75","AJ Vaynerchuk"
"76","AKQA"
"77","ALG International LLC"
"78","ALLVP"
"79","AM Partners"
"80","AMC Networks"
"81","AMD Ventures"
"82","AMD Ventures"
"83","AME Cloud Ventures"
"84","ANII"
"85","AOL Ventures"
"86","APAGM Services"
"87","AQUITI Gestion (ACI, Aqui-Invest, Aquitaine Amorçage)"
"88","ARC Angel Fund"
"89","ARC Angel Fund"
"90","ARTIS Ventures"
"91","AT&amp;T"
"92","ATA Ventures"
"93","ATX Seed Ventures"
"94","AVentures Capital"
"95","AXA Strategic Ventures"
"96","Aadil Mamujee"
"97","Aamer Abdullah"
"98","Aaref Hilaly"
"99","Aaron Bird"
"100","Aaron Harris"
"101","Aaron Houghton"
"102","Aaron Iba"
"103","Aaron Levie"
