"","inv2","inv3","website"
"1","#BUILTBYGIRLS","5131731518619648","http://www.seed-db.com/investorgraph/investorview?investorid=5131731518619648"
"2",".406 Ventures","4903702712287232406","http://www.seed-db.com/investorgraph/investorview?investorid=4903702712287232406"
"3","01 Ventures","626236687856435201","http://www.seed-db.com/investorgraph/investorview?investorid=626236687856435201"
"4","100 X Capital Partners","6375505980817408100","http://www.seed-db.com/investorgraph/investorview?investorid=6375505980817408100"
"5","101 Startups","4786775700537344101","http://www.seed-db.com/investorgraph/investorview?investorid=4786775700537344101"
"6","10Branch","496598618053017610","http://www.seed-db.com/investorgraph/investorview?investorid=496598618053017610"
"7","10Xelerator","471662443521638410","http://www.seed-db.com/investorgraph/investorview?investorid=471662443521638410"
"8","10Xelerator","564787209987686410","http://www.seed-db.com/investorgraph/investorview?investorid=564787209987686410"
"9","10x Group","626374522752204810","http://www.seed-db.com/investorgraph/investorview?investorid=626374522752204810"
"10","122 West Ventures","5731399097122816122","http://www.seed-db.com/investorgraph/investorview?investorid=5731399097122816122"
"11","14W","498222786779545614","http://www.seed-db.com/investorgraph/investorview?investorid=498222786779545614"
"12","1517 Fund","63839484269035521517","http://www.seed-db.com/investorgraph/investorview?investorid=63839484269035521517"
"13","1776","59491809671249921776","http://www.seed-db.com/investorgraph/investorview?investorid=59491809671249921776"
"14","1776 Ventures","49403315355648001776","http://www.seed-db.com/investorgraph/investorview?investorid=49403315355648001776"
"15","1800Flowers","49603885840465921800","http://www.seed-db.com/investorgraph/investorview?investorid=49603885840465921800"
"16","1843 Capital","57035360336609281843","http://www.seed-db.com/investorgraph/investorview?investorid=57035360336609281843"
"17","2010 NYU Stern Business Plan Competition","57369140154859522010","http://www.seed-db.com/investorgraph/investorview?investorid=57369140154859522010"
"18","2020 Ventures","53994997740994562020","http://www.seed-db.com/investorgraph/investorview?investorid=53994997740994562020"
"19","2020 Ventures","56402297592217602020","http://www.seed-db.com/investorgraph/investorview?investorid=56402297592217602020"
"20","23Seed","454527617807155223","http://www.seed-db.com/investorgraph/investorview?investorid=454527617807155223"
"21","2500 Bachman Ventures","46193221902008322500","http://www.seed-db.com/investorgraph/investorview?investorid=46193221902008322500"
"22","2B Angels","47991473580277762","http://www.seed-db.com/investorgraph/investorview?investorid=47991473580277762"
"23","2B Angels","62420568003051522","http://www.seed-db.com/investorgraph/investorview?investorid=62420568003051522"
"24","313 Ventures","5653007672803328313","http://www.seed-db.com/investorgraph/investorview?investorid=5653007672803328313"
"25","313 Ventures","5951731099762688313","http://www.seed-db.com/investorgraph/investorview?investorid=5951731099762688313"
"26","316 Investments","5163230724882432316","http://www.seed-db.com/investorgraph/investorview?investorid=5163230724882432316"
"27","3311 Ventures","56542177966161923311","http://www.seed-db.com/investorgraph/investorview?investorid=56542177966161923311"
"28","33entrepreneurs","656153566091673633","http://www.seed-db.com/investorgraph/investorview?investorid=656153566091673633"
"29","360 Capital Partners","5635255146905600360","http://www.seed-db.com/investorgraph/investorview?investorid=5635255146905600360"
"30","360 Capital Partners","5656975983509504360","http://www.seed-db.com/investorgraph/investorview?investorid=5656975983509504360"
"31","37 Ventures","542792349856563237","http://www.seed-db.com/investorgraph/investorview?investorid=542792349856563237"
"32","3TS Capital Partners","57834847862784003","http://www.seed-db.com/investorgraph/investorview?investorid=57834847862784003"
"33","3one4 Capital","487948594184192034","http://www.seed-db.com/investorgraph/investorview?investorid=487948594184192034"
"34","3rd Prime Capital","54649856815267843","http://www.seed-db.com/investorgraph/investorview?investorid=54649856815267843"
"35","3x5 Special Opportunity Fund","672647663216230435","http://www.seed-db.com/investorgraph/investorview?investorid=672647663216230435"
"36","408 Ventures","6241278354259968408","http://www.seed-db.com/investorgraph/investorview?investorid=6241278354259968408"
"37","43North","563906869198848043","http://www.seed-db.com/investorgraph/investorview?investorid=563906869198848043"
"38","4490 Ventures","49327290743521284490","http://www.seed-db.com/investorgraph/investorview?investorid=49327290743521284490"
"39","4DX","50911009434501124","http://www.seed-db.com/investorgraph/investorview?investorid=50911009434501124"
"40","4iP","52504525977681924","http://www.seed-db.com/investorgraph/investorview?investorid=52504525977681924"
"41","500 Mobile Collective","6230778065190912500","http://www.seed-db.com/investorgraph/investorview?investorid=6230778065190912500"
"42","500 Startups","4891277640335360500","http://www.seed-db.com/investorgraph/investorview?investorid=4891277640335360500"
"43","500 Startups Canada","4918585663160320500","http://www.seed-db.com/investorgraph/investorview?investorid=4918585663160320500"
"44","500Tech","5092827553857536500","http://www.seed-db.com/investorgraph/investorview?investorid=5092827553857536500"
"45","62 Mile Ventures","576677075327385662","http://www.seed-db.com/investorgraph/investorview?investorid=576677075327385662"
"46","645 Ventures","5808721041031168645","http://www.seed-db.com/investorgraph/investorview?investorid=5808721041031168645"
